match_id,team1,team2,toss_winner,toss_decision,venue,match_winner,team1_win,team1_strength,team2_strength,strength_diff
1136604,6,494,494,field,Holkar Cricket Stadium,6,1,0.5151515151515151,0.4659090909090909,0.049242424242424254
1136605,252,1,1,field,Arun Jaitley Stadium,1,0,0.45692883895131087,0.4925925925925926,-0.035663753641281715
1136606,2,129,129,field,Maharashtra Cricket Association Stadium,129,0,0.46494464944649444,0.5674603174603174,-0.102515668013823
1136607,3,134,134,field,Wankhede Stadium,134,0,0.5523465703971119,0.5063829787234042,0.04596359167370767
1136608,494,1,1,field,Holkar Cricket Stadium,1,0,0.4659090909090909,0.4925925925925926,-0.026683501683501698
1136609,134,6,6,field,Eden Gardens,6,0,0.5063829787234042,0.5151515151515151,-0.008768536428110929
1136610,3,494,494,field,Wankhede Stadium,3,1,0.5523465703971119,0.4659090909090909,0.086437479488021
1136611,1,2,2,field,M.Chinnaswamy Stadium,1,1,0.4925925925925926,0.46494464944649444,0.027647943146098142
1136612,252,129,129,field,Arun Jaitley Stadium,252,1,0.45692883895131087,0.5674603174603174,-0.11053147850900658
1136613,134,1,134,bat,Sawai Mansingh Stadium,134,1,0.5063829787234042,0.4925925925925926,0.013790386130811627
1136614,2,6,2,bat,Rajiv Gandhi International Stadium,6,0,0.46494464944649444,0.5151515151515151,-0.0502068657050207
1136615,252,3,252,bat,Arun Jaitley Stadium,252,1,0.45692883895131087,0.5523465703971119,-0.09541773144580101
1136616,494,129,129,field,Maharashtra Cricket Association Stadium,129,0,0.4659090909090909,0.5674603174603174,-0.10155122655122656
1136617,2,129,129,field,Wankhede Stadium,129,0,0.46494464944649444,0.5674603174603174,-0.102515668013823
1136618,6,134,134,field,Eden Gardens,6,1,0.5151515151515151,0.5063829787234042,0.008768536428110929
1136619,2,6,6,field,Eden Gardens,2,1,0.46494464944649444,0.5151515151515151,-0.0502068657050207
1136620,2,129,129,field,Wankhede Stadium,129,0,0.46494464944649444,0.5674603174603174,-0.102515668013823
1175356,1,129,129,field,MA Chidambaram Stadium,129,0,0.4925925925925926,0.5674603174603174,-0.07486772486772486
1175357,2,6,6,field,Eden Gardens,6,0,0.46494464944649444,0.5151515151515151,-0.0502068657050207
1175358,252,3,3,field,Wankhede Stadium,252,1,0.45692883895131087,0.5523465703971119,-0.09541773144580101
1175359,494,134,134,field,Sawai Mansingh Stadium,494,1,0.4659090909090909,0.5063829787234042,-0.040473887814313325
1175360,252,129,252,bat,Arun Jaitley Stadium,129,0,0.45692883895131087,0.5674603174603174,-0.11053147850900658
1175361,6,494,494,field,Eden Gardens,6,1,0.5151515151515151,0.4659090909090909,0.049242424242424254
1175362,3,1,1,field,M.Chinnaswamy Stadium,3,1,0.5523465703971119,0.4925925925925926,0.0597539778045193
1175363,134,2,134,bat,Rajiv Gandhi International Stadium,2,0,0.5063829787234042,0.46494464944649444,0.04143832927690977
1175364,3,494,494,field,Punjab Cricket Association IS Bindra Stadium,494,0,0.5523465703971119,0.4659090909090909,0.086437479488021
1175365,6,252,252,field,Arun Jaitley Stadium,252,0,0.5151515151515151,0.45692883895131087,0.05822267620020427
1175366,2,1,1,field,Rajiv Gandhi International Stadium,2,1,0.46494464944649444,0.4925925925925926,-0.027647943146098142
1175367,129,134,134,field,MA Chidambaram Stadium,129,1,0.5674603174603174,0.5063829787234042,0.061077338736913234
1175368,494,252,252,field,Punjab Cricket Association IS Bindra Stadium,494,1,0.4659090909090909,0.45692883895131087,0.008980251957780017
1175369,1,134,134,field,Sawai Mansingh Stadium,134,0,0.4925925925925926,0.5063829787234042,-0.013790386130811627
1175370,3,129,129,field,Wankhede Stadium,3,1,0.5523465703971119,0.5674603174603174,-0.015113747063205563
1175371,252,2,2,field,Arun Jaitley Stadium,2,0,0.45692883895131087,0.46494464944649444,-0.008015810495183573
1175372,1,6,6,field,M.Chinnaswamy Stadium,6,0,0.4925925925925926,0.5151515151515151,-0.022558922558922556
1178393,129,494,129,bat,MA Chidambaram Stadium,129,1,0.5674603174603174,0.4659090909090909,0.10155122655122656
1178394,3,2,2,field,Rajiv Gandhi International Stadium,3,1,0.5523465703971119,0.46494464944649444,0.08740192095061744
1178395,1,252,252,field,M.Chinnaswamy Stadium,252,0,0.4925925925925926,0.45692883895131087,0.035663753641281715
1178396,134,6,6,field,Sawai Mansingh Stadium,6,0,0.5063829787234042,0.5151515151515151,-0.008768536428110929
1178397,2,494,494,field,Punjab Cricket Association IS Bindra Stadium,494,0,0.46494464944649444,0.4659090909090909,-0.0009644414625964437
1178398,6,129,129,field,MA Chidambaram Stadium,129,0,0.5151515151515151,0.5674603174603174,-0.052308802308802305
1178399,494,3,3,field,Wankhede Stadium,3,0,0.4659090909090909,0.5523465703971119,-0.086437479488021
1178400,134,129,129,field,Sawai Mansingh Stadium,129,0,0.5063829787234042,0.5674603174603174,-0.061077338736913234
1178401,6,252,252,field,Eden Gardens,252,0,0.5151515151515151,0.45692883895131087,0.05822267620020427
1178402,3,134,134,field,Wankhede Stadium,134,0,0.5523465703971119,0.5063829787234042,0.04596359167370767
1178403,494,1,1,field,Punjab Cricket Association IS Bindra Stadium,1,0,0.4659090909090909,0.4925925925925926,-0.026683501683501698
1178404,6,129,129,field,Eden Gardens,129,0,0.5151515151515151,0.5674603174603174,-0.052308802308802305
1178405,252,2,2,field,Rajiv Gandhi International Stadium,252,1,0.45692883895131087,0.46494464944649444,-0.008015810495183573
1178406,1,3,3,field,Wankhede Stadium,3,0,0.4925925925925926,0.5523465703971119,-0.0597539778045193
1178407,494,134,134,field,Punjab Cricket Association IS Bindra Stadium,494,1,0.4659090909090909,0.5063829787234042,-0.040473887814313325
1178408,129,2,129,bat,Rajiv Gandhi International Stadium,2,0,0.5674603174603174,0.46494464944649444,0.102515668013823
1178409,3,252,3,bat,Arun Jaitley Stadium,3,1,0.5523465703971119,0.45692883895131087,0.09541773144580101
1178410,1,6,6,field,Eden Gardens,1,1,0.4925925925925926,0.5151515151515151,-0.022558922558922556
1178411,3,134,134,field,Sawai Mansingh Stadium,134,0,0.5523465703971119,0.5063829787234042,0.04596359167370767
1178412,494,252,252,field,Arun Jaitley Stadium,252,0,0.4659090909090909,0.45692883895131087,0.008980251957780017
1178413,6,2,2,field,Rajiv Gandhi International Stadium,2,0,0.5151515151515151,0.46494464944649444,0.0502068657050207
1178414,1,129,129,field,M.Chinnaswamy Stadium,1,1,0.4925925925925926,0.5674603174603174,-0.07486772486772486
1178415,134,252,252,field,Sawai Mansingh Stadium,252,0,0.5063829787234042,0.45692883895131087,0.04945413977209334
1178416,2,129,129,field,MA Chidambaram Stadium,129,0,0.46494464944649444,0.5674603174603174,-0.102515668013823
1178417,1,494,494,field,M.Chinnaswamy Stadium,1,1,0.4925925925925926,0.4659090909090909,0.026683501683501698
1178418,6,134,134,field,Eden Gardens,134,0,0.5151515151515151,0.5063829787234042,0.008768536428110929
1178419,3,129,129,field,MA Chidambaram Stadium,3,1,0.5523465703971119,0.5674603174603174,-0.015113747063205563
1178420,2,134,134,field,Sawai Mansingh Stadium,134,0,0.46494464944649444,0.5063829787234042,-0.04143832927690977
1178421,252,1,252,bat,Arun Jaitley Stadium,252,1,0.45692883895131087,0.4925925925925926,-0.035663753641281715
1178422,6,3,3,field,Eden Gardens,6,1,0.5151515151515151,0.5523465703971119,-0.03719505524559674
1178423,2,494,494,field,Rajiv Gandhi International Stadium,2,1,0.46494464944649444,0.4659090909090909,-0.0009644414625964437
1178424,1,134,134,field,M.Chinnaswamy Stadium,134,0,0.4925925925925926,0.5063829787234042,-0.013790386130811627
1178425,129,252,252,field,MA Chidambaram Stadium,129,1,0.5674603174603174,0.45692883895131087,0.11053147850900658
1178426,3,2,3,bat,Wankhede Stadium,2,0,0.5523465703971119,0.46494464944649444,0.08740192095061744
1178427,494,6,6,field,Punjab Cricket Association IS Bindra Stadium,6,0,0.4659090909090909,0.5151515151515151,-0.049242424242424254
1178428,134,252,134,bat,Arun Jaitley Stadium,252,0,0.5063829787234042,0.45692883895131087,0.04945413977209334
1178429,2,1,1,field,M.Chinnaswamy Stadium,1,0,0.46494464944649444,0.4925925925925926,-0.027647943146098142
1178430,129,494,494,field,Punjab Cricket Association IS Bindra Stadium,494,0,0.5674603174603174,0.4659090909090909,0.10155122655122656
1178431,6,3,3,field,Wankhede Stadium,3,0,0.5151515151515151,0.5523465703971119,-0.03719505524559674
1181764,129,3,129,bat,MA Chidambaram Stadium,3,0,0.5674603174603174,0.5523465703971119,0.015113747063205563
1181766,2,252,252,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,252,0,0.46494464944649444,0.45692883895131087,0.008015810495183573
1181767,252,129,129,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,129,0,0.45692883895131087,0.5674603174603174,-0.11053147850900658
1181768,3,129,3,bat,Rajiv Gandhi International Stadium,3,1,0.5523465703971119,0.5674603174603174,-0.015113747063205563
1216492,3,129,129,field,Sheikh Zayed Stadium,129,0,0.5523465703971119,0.5674603174603174,-0.015113747063205563
1216493,252,494,494,field,Dubai International Cricket Stadium,494,0,0.45692883895131087,0.4659090909090909,-0.008980251957780017
1216494,6,1,6,bat,Sheikh Zayed Stadium,1,0,0.5151515151515151,0.4925925925925926,0.022558922558922556
1216495,3,2,2,field,Sharjah Cricket Stadium,2,0,0.5523465703971119,0.46494464944649444,0.08740192095061744
1216496,134,129,129,field,Sharjah Cricket Stadium,134,1,0.5063829787234042,0.5674603174603174,-0.061077338736913234
1216497,6,252,252,field,Sheikh Zayed Stadium,6,1,0.5151515151515151,0.45692883895131087,0.05822267620020427
1216498,494,2,2,field,Dubai International Cricket Stadium,494,1,0.4659090909090909,0.46494464944649444,0.0009644414625964437
1216499,1,3,3,field,Sheikh Zayed Stadium,3,0,0.4925925925925926,0.5523465703971119,-0.0597539778045193
1216500,252,134,134,field,Sharjah Cricket Stadium,252,1,0.45692883895131087,0.5063829787234042,-0.04945413977209334
1216501,6,129,6,bat,Sheikh Zayed Stadium,6,1,0.5151515151515151,0.5674603174603174,-0.052308802308802305
1216502,1,2,2,field,Sharjah Cricket Stadium,2,0,0.4925925925925926,0.46494464944649444,0.027647943146098142
1216503,3,494,494,field,Sheikh Zayed Stadium,3,1,0.5523465703971119,0.4659090909090909,0.086437479488021
1216504,6,134,134,field,Dubai International Cricket Stadium,6,1,0.5151515151515151,0.5063829787234042,0.008768536428110929
